Date,DJFUELUSGULF
1990-04-01,0.53980952380952380952
1990-05-01,0.51563636363636363636
1990-06-01,0.49395238095238095238
1990-07-01,0.53542857142857142857
1990-08-01,0.79147826086956521739
1990-09-01,1.01200000000000000000
1990-10-01,1.1960434782608696
1990-11-01,0.97090000000000000000
1990-12-01,0.80310000000000000000
1991-01-01,0.74159090909090909091
1991-02-01,0.63700000000000000000
1991-03-01,0.55855000000000000000
1991-04-01,0.55195454545454545455
1991-05-01,0.56922727272727272727
1991-06-01,0.54740000000000000000
1991-07-01,0.58552173913043478261
1991-08-01,0.62286363636363636364
1991-09-01,0.63519047619047619048
1991-10-01,0.67073913043478260870
1991-11-01,0.64552380952380952381
1991-12-01,0.52171428571428571429
1992-01-01,0.50940909090909090909
1992-02-01,0.54345000000000000000
1992-03-01,0.51422727272727272727
1992-04-01,0.54309523809523809524
1992-05-01,0.57935000000000000000
1992-06-01,0.61486363636363636364
1992-07-01,0.61126086956521739130
1992-08-01,0.58985714285714285714
1992-09-01,0.62259090909090909091
1992-10-01,0.62113636363636363636
1992-11-01,0.56135000000000000000
1992-12-01,0.54445454545454545455
1993-01-01,0.53445000000000000000
1993-02-01,0.55266666666666666667
1993-03-01,0.55826086956521739130
1993-04-01,0.55110000000000000000
1993-05-01,0.55345000000000000000
1993-06-01,0.52631818181818181818
1993-07-01,0.49428571428571428571
1993-08-01,0.50095454545454545455
1993-09-01,0.53471428571428571429
1993-10-01,0.56757142857142857143
1993-11-01,0.53275000000000000000
1993-12-01,0.44619047619047619048
1994-01-01,0.52847619047619047619
1994-02-01,0.50152631578947368421
1994-03-01,0.45121739130434782609
1994-04-01,0.46905000000000000000
1994-05-01,0.47223809523809523810
1994-06-01,0.49254545454545454545
1994-07-01,0.50885000000000000000
1994-08-01,0.49769565217391304348
1994-09-01,0.49038095238095238095
1994-10-01,0.50952380952380952381
1994-11-01,0.51285000000000000000
1994-12-01,0.48704761904761904762
1995-01-01,0.47176190476190476190
1995-02-01,0.46668421052631578947
1995-03-01,0.44908695652173913043
1995-04-01,0.50026315789473684211
1995-05-01,0.51104545454545454545
1995-06-01,0.47800000000000000000
1995-07-01,0.46685000000000000000
1995-08-01,0.49595652173913043478
1995-09-01,0.51275000000000000000
1995-10-01,0.50186363636363636364
1995-11-01,0.52380000000000000000
1995-12-01,0.55360000000000000000
1996-01-01,0.54954545454545454545
1996-02-01,0.55735000000000000000
1996-03-01,0.58571428571428571429
1996-04-01,0.61676190476190476190
1996-05-01,0.55704545454545454545
1996-06-01,0.51615000000000000000
1996-07-01,0.55590909090909090909
1996-08-01,0.61518181818181818182
1996-09-01,0.68195000000000000000
1996-10-01,0.70300000000000000000
1996-11-01,0.69615000000000000000
1996-12-01,0.69319047619047619048
1997-01-01,0.67959090909090909091
1997-02-01,0.61915789473684210526
1997-03-01,0.55710000000000000000
1997-04-01,0.54050000000000000000
1997-05-01,0.54861904761904761905
1997-06-01,0.52290476190476190476
1997-07-01,0.53595454545454545455
1997-08-01,0.55885714285714285714
1997-09-01,0.54109523809523809524
1997-10-01,0.57086956521739130435
1997-11-01,0.54927777777777777778
1997-12-01,0.49631818181818181818
1998-01-01,0.47650000000000000000
1998-02-01,0.44915789473684210526
1998-03-01,0.41263636363636363636
1998-04-01,0.42576190476190476190
1998-05-01,0.41595000000000000000
1998-06-01,0.38936363636363636364
1998-07-01,0.38645454545454545455
1998-08-01,0.37228571428571428571
1998-09-01,0.42009523809523809524
1998-10-01,0.42050000000000000000
1998-11-01,0.37078947368421052632
1998-12-01,0.30427272727272727273
1999-01-01,0.33457894736842105263
1999-02-01,0.30868421052631578947
1999-03-01,0.37778260869565217391
1999-04-01,0.43005000000000000000
1999-05-01,0.41555000000000000000
1999-06-01,0.44009090909090909091
1999-07-01,0.51247619047619047619
1999-08-01,0.56418181818181818182
1999-09-01,0.61380952380952380952
1999-10-01,0.59542857142857142857
1999-11-01,0.66110000000000000000
1999-12-01,0.70133333333333333333
2000-01-01,0.78068421052631578947
2000-02-01,0.77965000000000000000
2000-03-01,0.77100000000000000000
2000-04-01,0.71921052631578947368
2000-05-01,0.76150000000000000000
